Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-01-01,Mon,12:33 AM,8.32,254,H
2018-01-01,Mon,5:54 AM,3.06,93,L
2018-01-01,Mon,11:48 AM,10.67,325,H
2018-01-01,Mon,7:00 PM,-1.3,-40,L
2018-01-02,Tue,1:25 AM,8.65,264,H
2018-01-02,Tue,6:49 AM,2.96,90,L
2018-01-02,Tue,12:39 PM,10.73,327,H
2018-01-02,Tue,7:48 PM,-1.47,-45,L
2018-01-03,Wed,2:14 AM,8.88,271,H
2018-01-03,Wed,7:43 AM,2.83,86,L
2018-01-03,Wed,1:29 PM,10.57,322,H
2018-01-03,Wed,8:34 PM,-1.38,-42,L
2018-01-04,Thu,3:02 AM,9.01,275,H
2018-01-04,Thu,8:36 AM,2.69,82,L
2018-01-04,Thu,2:20 PM,10.18,310,H
2018-01-04,Thu,9:19 PM,-1.06,-32,L
2018-01-05,Fri,3:49 AM,9.06,276,H
2018-01-05,Fri,9:29 AM,2.6,79,L
2018-01-05,Fri,3:13 PM,9.58,292,H
2018-01-05,Fri,10:04 PM,-0.53,-16,L
2018-01-06,Sat,4:36 AM,9.05,276,H
2018-01-06,Sat,10:24 AM,2.55,78,L
2018-01-06,Sat,4:09 PM,8.82,269,H
2018-01-06,Sat,10:48 PM,0.17,5,L
2018-01-07,Sun,5:23 AM,8.98,274,H
2018-01-07,Sun,11:23 AM,2.53,77,L
2018-01-07,Sun,5:09 PM,8,244,H
2018-01-07,Sun,11:35 PM,0.95,29,L
2018-01-08,Mon,6:12 AM,8.91,272,H
2018-01-08,Mon,12:29 PM,2.43,74,L
2018-01-08,Mon,6:17 PM,7.28,222,H
2018-01-09,Tue,12:27 AM,1.74,53,L
2018-01-09,Tue,7:02 AM,8.87,270,H
2018-01-09,Tue,1:38 PM,2.18,66,L
2018-01-09,Tue,7:32 PM,6.82,208,H
2018-01-10,Wed,1:23 AM,2.43,74,L
2018-01-10,Wed,7:53 AM,8.87,270,H
2018-01-10,Wed,2:46 PM,1.76,54,L
2018-01-10,Wed,8:48 PM,6.71,205,H
2018-01-11,Thu,2:21 AM,2.96,90,L
2018-01-11,Thu,8:44 AM,8.94,272,H
2018-01-11,Thu,3:46 PM,1.25,38,L
2018-01-11,Thu,9:57 PM,6.92,211,H
2018-01-12,Fri,3:18 AM,3.3,101,L
2018-01-12,Fri,9:32 AM,9.05,276,H
2018-01-12,Fri,4:39 PM,0.78,24,L
2018-01-12,Fri,10:55 PM,7.26,221,H
2018-01-13,Sat,4:12 AM,3.49,106,L
2018-01-13,Sat,10:17 AM,9.17,280,H
2018-01-13,Sat,5:25 PM,0.4,12,L
2018-01-13,Sat,11:46 PM,7.61,232,H
2018-01-14,Sun,5:01 AM,3.57,109,L
2018-01-14,Sun,10:58 AM,9.26,282,H
2018-01-14,Sun,6:06 PM,0.14,4,L
2018-01-15,Mon,12:30 AM,7.88,240,H
2018-01-15,Mon,5:47 AM,3.57,109,L
2018-01-15,Mon,11:38 AM,9.32,284,H
2018-01-15,Mon,6:44 PM,-0.02,-1,L
2018-01-16,Tue,1:10 AM,8.07,246,H
2018-01-16,Tue,6:31 AM,3.52,107,L
2018-01-16,Tue,12:15 PM,9.34,285,H
2018-01-16,Tue,7:19 PM,-0.1,-3,L
2018-01-17,Wed,1:48 AM,8.18,249,H
2018-01-17,Wed,7:12 AM,3.42,104,L
2018-01-17,Wed,12:51 PM,9.3,283,H
2018-01-17,Wed,7:52 PM,-0.12,-4,L
2018-01-18,Thu,2:23 AM,8.24,251,H
2018-01-18,Thu,7:50 AM,3.29,100,L
2018-01-18,Thu,1:26 PM,9.21,281,H
2018-01-18,Thu,8:23 PM,-0.07,-2,L
2018-01-19,Fri,2:55 AM,8.27,252,H
2018-01-19,Fri,8:28 AM,3.14,96,L
2018-01-19,Fri,2:02 PM,9.06,276,H
2018-01-19,Fri,8:53 PM,0.04,1,L
2018-01-20,Sat,3:26 AM,8.3,253,H
2018-01-20,Sat,9:05 AM,2.98,91,L
2018-01-20,Sat,2:40 PM,8.8,268,H
2018-01-20,Sat,9:22 PM,0.24,7,L
2018-01-21,Sun,3:56 AM,8.36,255,H
2018-01-21,Sun,9:44 AM,2.82,86,L
2018-01-21,Sun,3:22 PM,8.41,256,H
2018-01-21,Sun,9:54 PM,0.58,18,L
2018-01-22,Mon,4:28 AM,8.46,258,H
2018-01-22,Mon,10:28 AM,2.67,81,L
2018-01-22,Mon,4:11 PM,7.9,241,H
2018-01-22,Mon,10:29 PM,1.07,33,L
2018-01-23,Tue,5:04 AM,8.58,262,H
2018-01-23,Tue,11:22 AM,2.5,76,L
2018-01-23,Tue,5:10 PM,7.31,223,H
2018-01-23,Tue,11:12 PM,1.69,52,L
2018-01-24,Wed,5:47 AM,8.73,266,H
2018-01-24,Wed,12:28 PM,2.27,69,L
2018-01-24,Wed,6:25 PM,6.79,207,H
2018-01-25,Thu,12:06 AM,2.38,73,L
2018-01-25,Thu,6:38 AM,8.9,271,H
2018-01-25,Thu,1:44 PM,1.84,56,L
2018-01-25,Thu,7:51 PM,6.57,200,H
2018-01-26,Fri,1:13 AM,2.98,91,L
2018-01-26,Fri,7:37 AM,9.13,278,H
2018-01-26,Fri,2:57 PM,1.2,37,L
2018-01-26,Fri,9:15 PM,6.75,206,H
2018-01-27,Sat,2:27 AM,3.35,102,L
2018-01-27,Sat,8:40 AM,9.44,288,H
2018-01-27,Sat,4:03 PM,0.44,13,L
2018-01-27,Sat,10:26 PM,7.22,220,H
2018-01-28,Sun,3:38 AM,3.43,105,L
2018-01-28,Sun,9:42 AM,9.8,299,H
2018-01-28,Sun,5:02 PM,-0.27,-8,L
2018-01-28,Sun,11:26 PM,7.77,237,H
2018-01-29,Mon,4:43 AM,3.27,100,L
2018-01-29,Mon,10:41 AM,10.15,309,H
2018-01-29,Mon,5:55 PM,-0.83,-25,L
2018-01-30,Tue,12:19 AM,8.29,253,H
2018-01-30,Tue,5:43 AM,2.96,90,L
2018-01-30,Tue,11:37 AM,10.38,316,H
2018-01-30,Tue,6:45 PM,-1.19,-36,L
2018-01-31,Wed,1:07 AM,8.7,265,H
2018-01-31,Wed,6:39 AM,2.58,79,L
2018-01-31,Wed,12:30 PM,10.43,318,H
2018-01-31,Wed,7:31 PM,-1.31,-40,L
2018-02-01,Thu,1:53 AM,9.01,275,H
2018-02-01,Thu,7:32 AM,2.21,67,L
2018-02-01,Thu,1:22 PM,10.26,313,H
2018-02-01,Thu,8:15 PM,-1.18,-36,L
2018-02-02,Fri,2:36 AM,9.2,280,H
2018-02-02,Fri,8:23 AM,1.91,58,L
2018-02-02,Fri,2:12 PM,9.88,301,H
2018-02-02,Fri,8:56 PM,-0.82,-25,L
2018-02-03,Sat,3:18 AM,9.27,283,H
2018-02-03,Sat,9:12 AM,1.72,52,L
2018-02-03,Sat,3:02 PM,9.3,283,H
2018-02-03,Sat,9:35 PM,-0.26,-8,L
2018-02-04,Sun,3:59 AM,9.24,282,H
2018-02-04,Sun,10:02 AM,1.67,51,L
2018-02-04,Sun,3:54 PM,8.59,262,H
2018-02-04,Sun,10:14 PM,0.47,14,L
2018-02-05,Mon,4:39 AM,9.1,277,H
2018-02-05,Mon,10:54 AM,1.73,53,L
2018-02-05,Mon,4:49 PM,7.81,238,H
2018-02-05,Mon,10:55 PM,1.3,40,L
2018-02-06,Tue,5:21 AM,8.9,271,H
