Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-01-01,Mon,12:58 AM,6.79,207,H
2018-01-01,Mon,6:08 AM,2.53,77,L
2018-01-01,Mon,12:12 PM,9.22,281,H
2018-01-01,Mon,7:10 PM,-1.6,-49,L
2018-01-02,Tue,1:49 AM,7.11,217,H
2018-01-02,Tue,7:01 AM,2.46,75,L
2018-01-02,Tue,1:01 PM,9.29,283,H
2018-01-02,Tue,7:57 PM,-1.77,-54,L
2018-01-03,Wed,2:37 AM,7.32,223,H
2018-01-03,Wed,7:53 AM,2.38,73,L
2018-01-03,Wed,1:51 PM,9.13,278,H
2018-01-03,Wed,8:44 PM,-1.67,-51,L
2018-01-04,Thu,3:25 AM,7.44,227,H
2018-01-04,Thu,8:47 AM,2.32,71,L
2018-01-04,Thu,2:42 PM,8.73,266,H
2018-01-04,Thu,9:31 PM,-1.33,-41,L
2018-01-05,Fri,4:13 AM,7.48,228,H
2018-01-05,Fri,9:43 AM,2.28,69,L
2018-01-05,Fri,3:35 PM,8.11,247,H
2018-01-05,Fri,10:18 PM,-0.79,-24,L
2018-01-06,Sat,5:02 AM,7.47,228,H
2018-01-06,Sat,10:43 AM,2.26,69,L
2018-01-06,Sat,4:31 PM,7.35,224,H
2018-01-06,Sat,11:05 PM,-0.1,-3,L
2018-01-07,Sun,5:51 AM,7.44,227,H
2018-01-07,Sun,11:47 AM,2.21,67,L
2018-01-07,Sun,5:32 PM,6.56,200,H
2018-01-07,Sun,11:55 PM,0.65,20,L
2018-01-08,Mon,6:42 AM,7.42,226,H
2018-01-08,Mon,12:57 PM,2.06,63,L
2018-01-08,Mon,6:42 PM,5.86,179,H
2018-01-09,Tue,12:47 AM,1.39,42,L
2018-01-09,Tue,7:33 AM,7.41,226,H
2018-01-09,Tue,2:09 PM,1.79,55,L
2018-01-09,Tue,8:00 PM,5.39,164,H
2018-01-10,Wed,1:43 AM,2.05,62,L
2018-01-10,Wed,8:24 AM,7.43,226,H
2018-01-10,Wed,3:16 PM,1.42,43,L
2018-01-10,Wed,9:22 PM,5.25,160,H
2018-01-11,Thu,2:43 AM,2.57,78,L
2018-01-11,Thu,9:13 AM,7.48,228,H
2018-01-11,Thu,4:15 PM,1.01,31,L
2018-01-11,Thu,10:37 PM,5.37,164,H
2018-01-12,Fri,3:42 AM,2.91,89,L
2018-01-12,Fri,10:00 AM,7.56,230,H
2018-01-12,Fri,5:05 PM,0.62,19,L
2018-01-12,Fri,11:38 PM,5.63,172,H
2018-01-13,Sat,4:36 AM,3.08,94,L
2018-01-13,Sat,10:44 AM,7.66,233,H
2018-01-13,Sat,5:47 PM,0.29,9,L
2018-01-14,Sun,12:25 AM,5.9,180,H
2018-01-14,Sun,5:25 AM,3.13,95,L
2018-01-14,Sun,11:25 AM,7.75,236,H
2018-01-14,Sun,6:26 PM,0.03,1,L
2018-01-15,Mon,1:05 AM,6.13,187,H
2018-01-15,Mon,6:08 AM,3.09,94,L
2018-01-15,Mon,12:04 PM,7.83,239,H
2018-01-15,Mon,7:01 PM,-0.17,-5,L
2018-01-16,Tue,1:41 AM,6.33,193,H
2018-01-16,Tue,6:48 AM,3.02,92,L
2018-01-16,Tue,12:41 PM,7.87,240,H
2018-01-16,Tue,7:36 PM,-0.29,-9,L
2018-01-17,Wed,2:15 AM,6.47,197,H
2018-01-17,Wed,7:26 AM,2.93,89,L
2018-01-17,Wed,1:17 PM,7.84,239,H
2018-01-17,Wed,8:09 PM,-0.34,-10,L
2018-01-18,Thu,2:48 AM,6.57,200,H
2018-01-18,Thu,8:03 AM,2.84,87,L
2018-01-18,Thu,1:52 PM,7.73,236,H
2018-01-18,Thu,8:42 PM,-0.29,-9,L
2018-01-19,Fri,3:21 AM,6.64,202,H
2018-01-19,Fri,8:41 AM,2.76,84,L
2018-01-19,Fri,2:28 PM,7.52,229,H
2018-01-19,Fri,9:14 PM,-0.14,-4,L
2018-01-20,Sat,3:54 AM,6.7,204,H
2018-01-20,Sat,9:20 AM,2.68,82,L
2018-01-20,Sat,3:06 PM,7.22,220,H
2018-01-20,Sat,9:47 PM,0.12,4,L
2018-01-21,Sun,4:28 AM,6.77,206,H
2018-01-21,Sun,10:04 AM,2.58,79,L
2018-01-21,Sun,3:48 PM,6.83,208,H
2018-01-21,Sun,10:22 PM,0.48,15,L
2018-01-22,Mon,5:04 AM,6.86,209,H
2018-01-22,Mon,10:54 AM,2.44,74,L
2018-01-22,Mon,4:36 PM,6.35,194,H
2018-01-22,Mon,10:59 PM,0.94,29,L
2018-01-23,Tue,5:43 AM,6.99,213,H
2018-01-23,Tue,11:51 AM,2.24,68,L
2018-01-23,Tue,5:35 PM,5.85,178,H
2018-01-23,Tue,11:41 PM,1.47,45,L
2018-01-24,Wed,6:27 AM,7.16,218,H
2018-01-24,Wed,12:57 PM,1.91,58,L
2018-01-24,Wed,6:49 PM,5.43,166,H
2018-01-25,Thu,12:31 AM,2.02,62,L
2018-01-25,Thu,7:16 AM,7.38,225,H
2018-01-25,Thu,2:08 PM,1.43,44,L
2018-01-25,Thu,8:15 PM,5.24,160,H
2018-01-26,Fri,1:33 AM,2.5,76,L
2018-01-26,Fri,8:12 AM,7.66,233,H
2018-01-26,Fri,3:17 PM,0.81,25,L
2018-01-26,Fri,9:40 PM,5.39,164,H
2018-01-27,Sat,2:44 AM,2.82,86,L
2018-01-27,Sat,9:10 AM,8,244,H
2018-01-27,Sat,4:19 PM,0.12,4,L
2018-01-27,Sat,10:54 PM,5.78,176,H
2018-01-28,Sun,3:55 AM,2.9,88,L
2018-01-28,Sun,10:09 AM,8.37,255,H
2018-01-28,Sun,5:15 PM,-0.54,-16,L
2018-01-28,Sun,11:54 PM,6.27,191,H
2018-01-29,Mon,4:59 AM,2.76,84,L
2018-01-29,Mon,11:06 AM,8.71,265,H
2018-01-29,Mon,6:07 PM,-1.07,-33,L
2018-01-30,Tue,12:46 AM,6.74,205,H
2018-01-30,Tue,5:58 AM,2.49,76,L
2018-01-30,Tue,12:00 PM,8.96,273,H
2018-01-30,Tue,6:55 PM,-1.41,-43,L
2018-01-31,Wed,1:32 AM,7.14,218,H
2018-01-31,Wed,6:52 AM,2.17,66,L
2018-01-31,Wed,12:53 PM,9.03,275,H
2018-01-31,Wed,7:41 PM,-1.5,-46,L
2018-02-01,Thu,2:16 AM,7.44,227,H
2018-02-01,Thu,7:44 AM,1.88,57,L
2018-02-01,Thu,1:43 PM,8.87,270,H
2018-02-01,Thu,8:25 PM,-1.34,-41,L
2018-02-02,Fri,2:59 AM,7.62,232,H
2018-02-02,Fri,8:35 AM,1.65,50,L
2018-02-02,Fri,2:33 PM,8.48,258,H
2018-02-02,Fri,9:08 PM,-0.95,-29,L
2018-02-03,Sat,3:41 AM,7.71,235,H
2018-02-03,Sat,9:26 AM,1.52,46,L
2018-02-03,Sat,3:23 PM,7.9,241,H
2018-02-03,Sat,9:51 PM,-0.37,-11,L
2018-02-04,Sun,4:24 AM,7.68,234,H
2018-02-04,Sun,10:19 AM,1.48,45,L
2018-02-04,Sun,4:15 PM,7.18,219,H
2018-02-04,Sun,10:33 PM,0.35,11,L
2018-02-05,Mon,5:06 AM,7.58,231,H
2018-02-05,Mon,11:16 AM,1.51,46,L
2018-02-05,Mon,5:11 PM,6.43,196,H
2018-02-05,Mon,11:16 PM,1.12,34,L
2018-02-06,Tue,5:51 AM,7.41,226,H
2018-02-06,Tue,12:16 PM,1.55,47,L
2018-02-06,Tue,6:14 PM,5.74,175,H
