Date 	Day	Time	Pred(Ft)		Pred(cm)			High/Low
2018/01/01	Mon	12:58 AM	6.79		207			H
2018/01/01	Mon	06:08 AM	2.53		77			L
2018/01/01	Mon	12:12 PM	9.22		281			H
2018/01/01	Mon	07:10 PM	-1.60		-49			L
2018/01/02	Tue	01:49 AM	7.11		217			H
2018/01/02	Tue	07:01 AM	2.46		75			L
2018/01/02	Tue	01:01 PM	9.29		283			H
2018/01/02	Tue	07:57 PM	-1.77		-54			L
2018/01/03	Wed	02:37 AM	7.32		223			H
2018/01/03	Wed	07:53 AM	2.38		73			L
2018/01/03	Wed	01:51 PM	9.13		278			H
2018/01/03	Wed	08:44 PM	-1.67		-51			L
2018/01/04	Thu	03:25 AM	7.44		227			H
2018/01/04	Thu	08:47 AM	2.32		71			L
2018/01/04	Thu	02:42 PM	8.73		266			H
2018/01/04	Thu	09:31 PM	-1.33		-41			L
2018/01/05	Fri	04:13 AM	7.48		228			H
2018/01/05	Fri	09:43 AM	2.28		69			L
2018/01/05	Fri	03:35 PM	8.11		247			H
2018/01/05	Fri	10:18 PM	-0.79		-24			L
2018/01/06	Sat	05:02 AM	7.47		228			H
2018/01/06	Sat	10:43 AM	2.26		69			L
2018/01/06	Sat	04:31 PM	7.35		224			H
2018/01/06	Sat	11:05 PM	-0.10		-3			L
2018/01/07	Sun	05:51 AM	7.44		227			H
2018/01/07	Sun	11:47 AM	2.21		67			L
2018/01/07	Sun	05:32 PM	6.56		200			H
2018/01/07	Sun	11:55 PM	0.65		20			L
2018/01/08	Mon	06:42 AM	7.42		226			H
2018/01/08	Mon	12:57 PM	2.06		63			L
2018/01/08	Mon	06:42 PM	5.86		179			H
2018/01/09	Tue	12:47 AM	1.39		42			L
2018/01/09	Tue	07:33 AM	7.41		226			H
2018/01/09	Tue	02:09 PM	1.79		55			L
2018/01/09	Tue	08:00 PM	5.39		164			H
2018/01/10	Wed	01:43 AM	2.05		62			L
2018/01/10	Wed	08:24 AM	7.43		226			H
2018/01/10	Wed	03:16 PM	1.42		43			L
2018/01/10	Wed	09:22 PM	5.25		160			H
2018/01/11	Thu	02:43 AM	2.57		78			L
2018/01/11	Thu	09:13 AM	7.48		228			H
2018/01/11	Thu	04:15 PM	1.01		31			L
2018/01/11	Thu	10:37 PM	5.37		164			H
2018/01/12	Fri	03:42 AM	2.91		89			L
2018/01/12	Fri	10:00 AM	7.56		230			H
2018/01/12	Fri	05:05 PM	0.62		19			L
2018/01/12	Fri	11:38 PM	5.63		172			H
