Date ,Day,Time,Pred(Ft),Pred(cm),High/Low
2018-01-01,Mon,12:16 AM,6.08,185,H
2018-01-01,Mon,5:38 AM,2.3,70,L
2018-01-01,Mon,11:30 AM,8.26,252,H
2018-01-01,Mon,6:40 PM,-1.45,-44,L
2018-01-02,Tue,1:07 AM,6.37,194,H
2018-01-02,Tue,6:31 AM,2.24,68,L
2018-01-02,Tue,12:19 PM,8.33,254,H
2018-01-02,Tue,7:27 PM,-1.61,-49,L
2018-01-03,Wed,1:55 AM,6.56,200,H
2018-01-03,Wed,7:23 AM,2.16,66,L
2018-01-03,Wed,1:09 PM,8.18,249,H
2018-01-03,Wed,8:14 PM,-1.52,-46,L
2018-01-04,Thu,2:43 AM,6.66,203,H
2018-01-04,Thu,8:17 AM,2.11,64,L
2018-01-04,Thu,2:00 PM,7.82,238,H
2018-01-04,Thu,9:01 PM,-1.21,-37,L
2018-01-05,Fri,3:31 AM,6.7,204,H
2018-01-05,Fri,9:13 AM,2.08,63,L
2018-01-05,Fri,2:53 PM,7.27,222,H
2018-01-05,Fri,9:48 PM,-0.72,-22,L
2018-01-06,Sat,4:20 AM,6.7,204,H
2018-01-06,Sat,10:13 AM,2.06,63,L
2018-01-06,Sat,3:49 PM,6.59,201,H
2018-01-06,Sat,10:35 PM,-0.09,-3,L
2018-01-07,Sun,5:09 AM,6.67,203,H
2018-01-07,Sun,11:17 AM,2.01,61,L
2018-01-07,Sun,4:50 PM,5.88,179,H
2018-01-07,Sun,11:25 PM,0.59,18,L
2018-01-08,Mon,6:00 AM,6.64,202,H
2018-01-08,Mon,12:27 PM,1.88,57,L
2018-01-08,Mon,6:00 PM,5.25,160,H
2018-01-09,Tue,12:17 AM,1.27,39,L
2018-01-09,Tue,6:51 AM,6.64,202,H
2018-01-09,Tue,1:39 PM,1.63,50,L
2018-01-09,Tue,7:18 PM,4.83,147,H
2018-01-10,Wed,1:13 AM,1.87,57,L
2018-01-10,Wed,7:42 AM,6.65,203,H
2018-01-10,Wed,2:46 PM,1.29,39,L
2018-01-10,Wed,8:40 PM,4.7,143,H
2018-01-11,Thu,2:13 AM,2.34,71,L
2018-01-11,Thu,8:31 AM,6.7,204,H
2018-01-11,Thu,3:45 PM,0.92,28,L
2018-01-11,Thu,9:55 PM,4.81,147,H
2018-01-12,Fri,3:12 AM,2.64,80,L
2018-01-12,Fri,9:18 AM,6.77,206,H
2018-01-12,Fri,4:35 PM,0.57,17,L
2018-01-12,Fri,10:56 PM,5.04,154,H
2018-01-13,Sat,4:06 AM,2.8,85,L
2018-01-13,Sat,10:02 AM,6.86,209,H
2018-01-13,Sat,5:17 PM,0.26,8,L
2018-01-13,Sat,11:43 PM,5.28,161,H
2018-01-14,Sun,4:55 AM,2.84,87,L
2018-01-14,Sun,10:43 AM,6.95,212,H
2018-01-14,Sun,5:56 PM,0.02,1,L
2018-01-15,Mon,12:23 AM,5.5,168,H
2018-01-15,Mon,5:38 AM,2.81,86,L
2018-01-15,Mon,11:22 AM,7.02,214,H
2018-01-15,Mon,6:31 PM,-0.15,-5,L
2018-01-16,Tue,12:59 AM,5.67,173,H
2018-01-16,Tue,6:18 AM,2.74,84,L
2018-01-16,Tue,11:59 AM,7.05,215,H
2018-01-16,Tue,7:06 PM,-0.27,-8,L
2018-01-17,Wed,1:33 AM,5.79,176,H
2018-01-17,Wed,6:56 AM,2.66,81,L
2018-01-17,Wed,12:35 PM,7.02,214,H
2018-01-17,Wed,7:39 PM,-0.31,-9,L
2018-01-18,Thu,2:06 AM,5.88,179,H
2018-01-18,Thu,7:33 AM,2.58,79,L
2018-01-18,Thu,1:10 PM,6.92,211,H
2018-01-18,Thu,8:12 PM,-0.26,-8,L
2018-01-19,Fri,2:39 AM,5.95,181,H
2018-01-19,Fri,8:11 AM,2.51,77,L
2018-01-19,Fri,1:46 PM,6.74,205,H
2018-01-19,Fri,8:44 PM,-0.13,-4,L
2018-01-20,Sat,3:12 AM,6,183,H
2018-01-20,Sat,8:50 AM,2.44,74,L
2018-01-20,Sat,2:24 PM,6.47,197,H
2018-01-20,Sat,9:17 PM,0.11,3,L
2018-01-21,Sun,3:46 AM,6.06,185,H
2018-01-21,Sun,9:34 AM,2.35,72,L
2018-01-21,Sun,3:06 PM,6.12,187,H
2018-01-21,Sun,9:52 PM,0.44,13,L
2018-01-22,Mon,4:22 AM,6.14,187,H
2018-01-22,Mon,10:24 AM,2.22,68,L
2018-01-22,Mon,3:54 PM,5.69,173,H
2018-01-22,Mon,10:29 PM,0.85,26,L
